English,Portuguese
Not yet .,Ainda não.
I hear you bought a new house in the northern suburbs .,Ouvi dizer que comprou uma casa nova nos subúrbios do norte.
"That ' s right , we bought it the same day we came on the market .","Isso mesmo, comprámo-lo no mesmo dia em que viemos ao mercado."
What kind of house is it ?,Que tipo de casa é essa?
It ' s a wonderful Spanish style .,É um maravilhoso estilo espanhol.
"Oh , I love the roof tiles on Spanish style houses .","Oh, eu adoro as telhas do telhado em casas de estilo espanhol."
And it ' s a bargaining . A house like this in river side costs double the price .,E é uma negociação. Uma casa como esta no lado do rio custa o dobro do preço.
"Great , is it a two bedroom house ?","Ótimo, é uma casa de dois quartos?"
"No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ' s a two-car garage .","Não, tem três quartos e três camas, e tem uma sala de estar com um teto de 12 pés. Há uma garagem de dois carros."
That ' s a nice area too . It ' ll be a good investment for you .,É uma bela área também. Será um bom investimento para si.
"Yeas , when will you buy a house ?","Sim, quando é que vais comprar uma casa?"
"Not untill the end of this year , you know , just before my wedding .","Não até ao fim deste ano, sabes, pouco antes do meu casamento."
"Right , congratulations .","Certo, parabéns."
Thank you .,Obrigado.
"Hi , Becky , what's up ?","Olá, Becky, o que se passa?"
"Not much , except that my mother-in-law is driving me up the wall .","Não muito, excepto que a minha sogra está a levar-me para cima da parede."
What's the problem ?,Qual é o problema?
She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around .,Ela adora nit-pick e critica tudo o que eu faço. Nunca consigo fazer nada certo quando ela está por perto.
For example ?,Por exemplo?
"Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her .","Bem, na semana passada convidei-a para jantar. Meu marido e eu não tivemos nenhum problema com a comida, mas se você a escutou, então pareceria que eu alimentei sua carne velha e legumes podres. Não há nada que lhe possa agradar."
"No , I can't see that happening . I know you're a good cook and nothing like that would ever happen .","Não, não vejo isso acontecer. Sei que és um bom cozinheiro e nada assim aconteceria."
It's not just that . She also criticizes how we raise the kids .,Não é só isso. Ela também critica como criamos as crianças.
"My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun .","A minha sogra costumava fazer-nos a mesma coisa. Se não os disciplinamos o suficiente, então nós os disciplinamos demais. Ela também se queixou sobre a comida que lhes alimentamos, as escolas que lhes enviamos também, e tudo mais sob o sol."
You said she used to ? How did you stop her ?,Disseste que ela costumava? Como é que a impediste?
"We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful .","Basicamente a sentamos e lhe contamos como nos sentimos sobre sua constante crítica, e como acolhemos seu conselho, mas esperava que ela nos deixasse fazer nossas coisas. Ela entendeu, e agora tudo é muito mais pacífico."
That sounds like a good idea . I'll have to try that .,Parece uma boa ideia. Vou ter de tentar isso.
How are Zina's new programmers working out ?,Como estão a trabalhar os novos programadores da Zina?
"I hate to admit it , but they're good . And fast . The Filipino kid is a genius .","Odeio admitir, mas eles são bons. E rápido. O rapaz filipino é um génio."
"So you'll make the Stars . com deadline , and have us up and running next week ?","Então você vai fazer as Estrelas. prazo com, e ter-nos em funcionamento na próxima semana?"
"It'll be close , but we'll make it .","Vai ser perto, mas vamos conseguir."
"Good . After Stars . com starts paying us , we won't need Vikam's cash anymore .","Óptimo. Depois das Estrelas. Com começa a pagar-nos, não vamos precisar mais do dinheiro do Vikam."
"And if we don't need them , we won't need Zina , either .","E se não precisarmos deles, também não precisaremos de Zina."
Do you like cooking ?,Gostas de cozinhar?
Yes . I like cooking very much . I got this hobby when I was 12 years sold .,Sim. Gosto muito de cozinhar. Eu tive este hobby quando eu tinha 12 anos vendido.
Why do you like it ?,Porque é que gostas?
I have no idea . I like cooking by myself . I like to taste delicious food .,Não faço ideia. Gosto de cozinhar sozinha. Gosto de saborear comida deliciosa.
That's wonderful !,Isso é maravilhoso!
"And I love trying new recipes , which I usually test with my friends . You can come , too .","E eu adoro experimentar novas receitas, que eu costumo testar com meus amigos. Também podes vir."
Really ? I hope I can have a chance to taste it . Don't forget to tell me .,A sério? Espero ter a oportunidade de provar. Não te esqueças de me dizer.
Certainly .,Certamente.
Anyone home ? Jen !,Está alguém em casa? Jen! Não!
I'm in the kitchen ... let yourself in !,Permettete-vos d'entrare!
Wow ! You're really working up a storm !,Meu Deus! Estás mesmo a fazer uma tempestade!
I know . I've even worked up a sweat .,Eu sei. Até me esforcei para suar.
You look like a cooking show host--only messier .,"Pareces um anfitrião de espetáculos de culinária, só mais bagunçado."
You look so tan and healthy !,Pareces tão bronzeado e saudável!
Thanks . I just got back from summer camp .,Obrigado. Acabei de voltar do acampamento de verão.
How was it ?,Como foi?
Great . I got to try so many things for the first time .,Óptimo. Tenho de tentar tantas coisas pela primeira vez.
Like what ?,Como o quê?
"I went sailing , fishing , and horseback riding .","Eu fui velejar, pescar, e equitação."
I ' m so jealous .,Estou com tanta inveja.
The counselors were so nice too . It was the best summer ever . Except for all those mosquitoes !,Os conselheiros também eram muito simpáticos. Foi o melhor verão de sempre. Excepto por todos aqueles mosquitos!
"Diana , do you like the perfume I gave you ?","Diana, gostas do perfume que te dei?"
"It ' s good . But to tell you the truth , I don ' t wear perfume .","É bom. Mas para dizer a verdade, eu não uso perfume."
I ' m sorry . I didn ' t know that .,Sinto muito. Eu não sabia disso.
That ' s all right . Thank you all the same .,Não faz mal. Obrigado a todos o mesmo.
"Ah , ah , ah ...","Ah, ah, ah..."
"All right , Bill . Here ' s your daily exercise schedule . You are to jog before breakfast .","Muito bem, Bill. Aqui está o seu horário diário de exercícios. Você vai correr antes do pequeno-almoço."
Jog ?,Coroa?
"Then , you are to walk to work .","Então, você vai a pé para o trabalho."
Walk ?,Andar?
Thirty minutes in gym at lunch time .,Trinta minutos no ginásio na hora do almoço.
Oh no .,Não.
"Use the stairs , never the elevator .","Use as escadas, nunca o elevador."
"Oh , dear .",Meu Deus.
"And three times a week , you can either swim , play racketball , or hand ball .","E três vezes por semana, você pode nadar, jogar rackball, ou bola de mão."
Oh no .,Não.
"OK , you can stop now . It ' s time for the dance class .","Está bem, podes parar agora. Está na hora da aula de dança."
Dance class ! I don't know how .,Aula de dança! Não sei como.
You will .,Você vai.
Oh ...,Não
"Hi Bill , I saw your grandma yesterday .","Olá Bill, vi a tua avó ontem."
Oh where was that ?,"Oh, onde foi isso?"
I was running around the track at my college and there she was walking around the same track .,Estava a correr pela pista na minha faculdade e lá ela andava pela mesma pista.
Grannie always tries to stay fit and healthy . She is always making us kids eat the proper foods .,A vovó sempre tenta manter-se em forma e saudável. Ela está sempre fazendo com que as crianças comam as comidas adequadas.
"Well , it pays off for her . How old is she anyway ?","Bem, vale a pena para ela. Quantos anos ela tem?"
She will be 86 next month .,Ela terá 86 anos no próximo mês.
That is truly amazing !,Isso é realmente incrível!
I would like to register for a class today .,Gostaria de me inscrever para uma aula hoje.
"No problem , what class would you like to take ?","Não há problema, que aula você gostaria de fazer?"
I would very much enjoy taking a Psychology class . Because I'm crazy .,Eu gostaria muito de ter uma aula de Psicologia. Porque sou louco.
There are two classes that are still open .,Existem duas classes que ainda estão abertas.
Which days are these classes on ?,Em que dias estão estas aulas?
The first class is a Tuesday and Thursday class from two to three .,A primeira classe é uma aula de terça e quinta-feira de dois a três.
What about the other class ?,E a outra aula?
The other class is on Monday and Wednesday from 10 am - 12 .,A outra aula é na segunda-feira e quarta-feira de 10 am - 12.
Are you sure there are no more open classes ?,Tens a certeza que não há mais aulas abertas?
I'm positive .,Tenho certeza.
Sign me up for Monday and Wednesday .,Inscreva-me para segunda e quarta-feira.
"Okay , I'll sign you up .","Está bem, eu inscrevo-te."
"Dad , why are you taping the windows ?","Pai, porque estás a gravar as janelas?"
"Honey , a typhoon is coming .","Querido, está a chegar um tufão."
"Really ? Wow , I don't have to go to school tomorrow .",A sério? Não tenho de ir à escola amanhã.
"Jenny , come and help , we need to prepare more food .","Jenny, venha e ajude, precisamos preparar mais comida."
OK . Dad ! I'm coming .,Está bem. Pai! Estou a ir.
"Hi , my name is Lean , and I'm from Russia .","Olá, meu nome é Lean, e eu sou da Rússia."
"Nice to meet you , Lean . My name is Alike . I'm from Japan .","Prazer em conhecê-lo, Lean. O meu nome é ""Igualzinho"". Eu sou do Japão."
To me English is a difficult language .,"Para mim, o inglês é uma língua difícil."
A second language is always difficult .,Uma segunda língua é sempre difícil.
"True , but English is harder than most . It's a crazy language .","Verdade, mas o inglês é mais difícil do que a maioria. É uma língua maluca."
A crazy language ? Why do you say that ?,Uma língua louca? Porque dizes isso?
One letter can have several pronunciations and one word can have several meanings .,Uma letra pode ter várias pronunciações e uma palavra pode ter vários significados.
No wonder you say English is a crazy language .,Não admira que digas que o inglês é uma língua louca.
Can I help you ?,Posso ajudá-lo?
"I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look .","Espero que sim. Estou à procura de algum material para um artigo que estou escrevendo, e não tenho certeza de onde procurar."
I'll certainly try to help you . What topic is your paper on ?,Vou certamente tentar ajudá-lo. Em que tópico é o seu trabalho?
My paper is on the influence of television on children .,O meu trabalho está sobre a influência da televisão nas crianças.
There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television .,Existem várias fontes possíveis que você pode usar para esse tópico. Sugiro que você use o computador e o computador lhe dará uma lista de todas as revistas científicas que falam sobre crianças e televisão.
Thank you for you help .,Obrigado por sua ajuda.
Here ' s your hot dog and beer . What happened ? Did I miss anything ?,Aqui está o teu cachorro-quente e cerveja. O que aconteceu? Perdi alguma coisa?
"Yeah , Cal Ripen just hit a home run .","Sim, o Cal Ripen acabou de fazer um home run."
What ' s the score ?,Qual é a pontuação?
"Well it was 3 to 4 , but Ripen ' s home run made it 5 to 4 since another player was on first base .","Bem, era 3 a 4, mas o home run de Ripen fez 5 a 4 desde que outro jogador estava na primeira base."
So Baltimore is winning ?,"Então, Baltimore está a ganhar?"
Right .,Está bem.
This is a really great place to watch a baseball game .,Este é um ótimo lugar para assistir a um jogo de beisebol.
"Yeah , there isn ' t a bad seat in the place .","Sim, não há um assento mau no lugar."
"The fans are great here , too . Not like in Philadelphia .","Os fãs são ótimos aqui, também. Não como em Filadélfia."
It was a great idea to spend a day watching a game .,Foi uma ótima ideia passar um dia assistindo a um jogo.
"Yeah , it reminds you why they say baseball is America ' s favorite pastime .","Sim, lembra-te porque dizem que o basebol é o passatempo favorito da América."
How do you like the pizza here ?,Gostas da pizza aqui?
Perfect . It really hits the spot .,Perfeito. Ele realmente chega ao ponto.
Do you have a light ?,Tem fogo?
"Sorry , I don't smoke .","Desculpa, não fumo."
I was scared stiff of giving my first performance .,Eu estava com medo de dar a minha primeira performance.
Were you ? your performance was excellent .,Estavas? seu desempenho foi excelente.
Thank you for your kindly words .,Obrigado pelas vossas amáveis palavras.
Excuse me . Could you please take a picture of us with this camera ?,"Com licença. Pode tirar uma foto de nós com esta câmara, por favor?"
Sure . Which button do I press to shoot ?,Claro que sim. Qual botão eu carrego para disparar?
This one .,Este aqui.
Do I have to focus it ?,Tenho de o concentrar?
"No , this is a focus-free camera . All you have to do is point and press the button .","Não, esta é uma câmara sem foco. Tudo o que você tem que fazer é apontar e pressionar o botão."
All right . Say cheese !,Está bem. Diz queijo!
Every country should face the history .,Todos os países devem enfrentar a história.
"Yeah , we don ' t live in the vacuum . We have traditional values and long but different history .","Sim, não vivemos no vácuo. Temos valores tradicionais e história longa mas diferente."
"Sometimes , we , human beings , really had done something wrong , so we should admit it at first .","Às vezes, nós, seres humanos, realmente tinha feito algo errado, por isso devemos admiti-lo no início."
But there is always somebody who wants to turn his back on the true history .,Mas há sempre alguém que quer virar as costas para a história verdadeira.
"I believe such things won ' t be realized , just daydreaming .","Acredito que tais coisas não serão realizadas, apenas sonhando despertando."
"Do you like traveling , Kathy ?","Gostas de viajar, Kathy?"
"I like traveling for pleasure to get places for vacation for instance . But I don ' t like traveling to work , waiting for buses , or ...","Eu gosto de viajar por prazer para obter lugares para férias, por exemplo. Mas eu não gosto de viajar para o trabalho, esperando por ônibus, ou..."
Or getting stuck in traffic jams when you ' re driving .,Ou ficar preso nos engarrafamentos quando você está a conduzir.
Exactly .,Exatamente.
Your house is too small . Why not buy a big one .,A sua casa é muito pequena. Porque não comprar um grande.
I do wish I could afford one .,Quem me dera poder pagar um.
You can get a loan from the bank . You know LPF program provides low cost loans for participants home purchases .,Você pode obter um empréstimo do banco. Você sabe que o programa LPF oferece empréstimos de baixo custo para as compras domiciliares dos participantes.
Of course I know that . But don't you notice that the house price is skyrocketing ?,Claro que sei disso. Mas não reparas que o preço da casa está a subir?
"How do you do , Prof . Smith .","Como está, Prof. - Sim, Smith."
"How do you do , Ms . Yang . You speak very good English .","Como está, Sra. Yang. Você fala muito bem inglês."
Thank you . I begin to like English even when I was a child .,Obrigado. Começo a gostar de inglês mesmo quando era criança.
Where did you learn it ?,Onde é que aprendeste?
"At school , in China . This is my first time to be out of my own country .","Na escola, na China. É a primeira vez que saio do meu país."
It's amazing .,É incrível.
Do you want black or white coffee ?,Quer café preto ou branco?
"White , please","Branco, por favor."
Look ! there's a Folk concert tomorrow evening . Do you Want to go ?,Olha! Há um concerto do Folk amanhã à noite. Queres ir?
I don't like Folk music very much .,Não gosto muito de música folk.
What kind of music do you like ?,Que tipo de música gostas?
I like classical music . Do you ?,Gosto de música clássica. E tu?
Not very much . Classical music sends me to sleep,Não muito. A música clássica manda-me dormir
I don't believe you .,Não acredito em ti.
It ' s true .,É verdade.
You are funny !,És engraçado!
So are you ! How about another coffee ?,Tu também! Que tal outro café?
What do you like to do in your spare time ?,O que gostas de fazer no teu tempo livre?
I like playing chess .,Gosto de jogar xadrez.
Do you have any hobbies besides playing chess ?,Tem algum passatempo além de jogar xadrez?
I'm afraid not .,Receio que não.
Do you have any hobbies like playing tennis or things like that ?,Tens passatempos como jogar ténis ou coisas assim?
"Oh , yes . I like playing basketball .",Sim. Gosto de jogar basquetebol.
Can you tell me why you like it ?,Podes dizer-me porque gostas?
Because I like the feeling of cooperating with others .,Porque eu gosto do sentimento de cooperar com os outros.
Where is John ? I can't find him anywhere .,Onde está o John? Não consigo encontrá-lo em lado nenhum.
Haven't you heard that he is in prison ?,Não ouviste que ele está na prisão?
What ? Beg your pardon .,Porquê? Desculpe.
John is in prison now . He was copped outstealing .,John está na prisão agora. Ele foi roubado.
I just cann't believe my ears !,Não acredito nas minhas orelhas!
Can I help you ?,Posso ajudá-lo?
"I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look .","Espero que sim. Estou à procura de algum material para um artigo que estou escrevendo, e não tenho certeza de onde procurar."
I'll certainly try to help you . What topic is your paper on ?,Vou certamente tentar ajudá-lo. Em que tópico é o seu trabalho?
My paper is on the influence of television on children .,O meu trabalho está sobre a influência da televisão nas crianças.
There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television .,Existem várias fontes possíveis que você pode usar para esse tópico. Sugiro que você use o computador e o computador lhe dará uma lista de todas as revistas científicas que falam sobre crianças e televisão.
Thank you for you help .,Obrigado por sua ajuda.
"Hey , Ted . What are you up to this Friday ?","Olá, Ted. O que estás a fazer nesta sexta-feira?"
"Well , I have the day off from work .","Bem, eu tenho o dia de folga do trabalho."
That ' s great ! Do you have any plans ?,Isso é óptimo! Tem algum plano?
"Well , I ' Ve been working so hard lately , so I ' ll probably just take it easy .","Bem, eu 'Ve tem trabalhado tão duro ultimamente, então eu'provavelmente vai apenas levá-lo com calma."
Sounds nice .,Parece bom.
"Yeah , I ' ll probably just stay in and relax . Maybe watch a few movies .","Sim, provavelmente vou ficar em casa e relaxar. Talvez ver alguns filmes."
Can I stop by ?,Posso passar por aqui?
Sure . Any time .,Claro que sim. A qualquer hora.
You honestly believe the world ' s improving every year ?,Acreditas sinceramente que o mundo está a melhorar todos os anos?
"Yes , I do . I think that science is making us wiser . What do you think ?","Sim, eu sei. Acho que a ciência está nos tornando mais sábios. O que achas?"
I don ' t think you ' re right there .,Não acho que estejas aí.
I believe industry is making us wealthier .,Acredito que a indústria nos está a tornar mais ricos.
I don ' t believe that .,Não acredito nisso.
"And in my opinion , medicine is making us healthier .","E na minha opinião, a medicina está nos tornando mais saudáveis."
"I agree with you in the sense . But we ' re all more miserable than ever , aren ' t we ?","Concordo consigo no sentido. Mas somos todos mais miseráveis do que nunca, não somos?"
"I don ' t agree with you . I maintain that we ' re healthier , wealthier and wiser than we were a hundred years ago .","Não concordo consigo. Eu mantenho que nós'somos mais saudáveis, mais ricos e mais sábios do que estávamos há cem anos atrás."
That ' s your opinion not mine .,"Essa é a tua opinião, não a minha."
What do you plan to do for your birthday ?,O que tencionas fazer no teu aniversário?
"I want to have a picnic with my friends , Mum .","Quero fazer um piquenique com os meus amigos, mãe."
How about a party at home ? That way we can get together and celebrate it .,Que tal uma festa em casa? Assim podemos nos reunir e comemorar.
"OK , Mum . I'll invite my friends home .","Está bem, mãe. Vou convidar os meus amigos para casa."
How may I help you ?,Em que posso ajudá-lo?
I would like to return this book .,Gostaria de devolver este livro.
Is that all you need ?,É tudo o que precisas?
I also want to check out this video .,Também quero ver este vídeo.
Is that all you would like to check out ?,É só isso que queres verificar?
That ' s all I need .,É tudo o que preciso.
Do you have your library card ?,Tem o seu cartão de biblioteca?
Here it is .,Aqui está.
Make sure to take proper care of this video .,Certifique-se de cuidar adequadamente deste vídeo.
That won ' t be a problem .,Isso não será um problema.
"If you damage the video , you will be fined .","Se você danificar o vídeo, você será multado."
I won ' t damage it .,Não vou estragá-lo.
What's the matter with you then ? You look miserable .,"O que se passa contigo, então? Pareces miserável."
It's us .,Somos nós.
What do you mean by us .,O que queres dizer connosco?
"Well , you always say you're busy .","Bem, tu sempre dizes que estás ocupado."
That's right .,Isso mesmo.
And you often go back to live with your parents and leave our son in the room by himself .,E tu muitas vezes voltas para viver com os teus pais e deixas o nosso filho na sala sozinho.
"I ... I ... I miss my parents , also they miss me .","Mi mancam i miei genitori, e loro mi mancano."
"Oh I remember , I cut terrible calls , and you didn't say anything about it .","Lembro-me, cortei chamadas terríveis, e tu não disseste nada sobre isso."
You mean I am groaned a few words ?,Queres dizer que estou gemendo umas palavras?
Totally not . Perhaps it's about our marriage .,Totalmente não. Talvez seja sobre o nosso casamento.
"Hi , Mary . You look pale today . What's the matter with you ?","Olá, Mary. Pareces pálida hoje. O que se passa contigo?"
I think I've caught a cold . Now I'm aching all over .,Acho que apanhei um resfriado. Agora estou a doer por todo o lado.
You'd better take some medicine and have a good rest . I hope you'll be yourself pretty soon .,É melhor tomares um remédio e descansares bem. Espero que sejas tu mesmo em breve.
Thank you . I suppose I should go to see a doctor .,Obrigado. Suponho que deva ir ver um médico.
"I feel like going for a drink , it's been a long day .","Tenho vontade de ir tomar uma bebida, foi um longo dia."
"Great idea ! Peter , I could use the drink .","Ótima ideia! Peter, preciso da bebida."
How about the new bar across road ?,Que tal o novo bar do outro lado da estrada?
"Sounds good . The food there is fantastic , too .","Parece-me bem. A comida lá é fantástica, também."
"I agree , I had lunch there last week .","Concordo, almocei lá na semana passada."
excellent ! That sounds like a plan .,Excelente! Parece um plano.
"Could you tell me the right time , please ?","Pode dizer-me a hora certa, por favor?"
Well . My watch says five past two . But it ' s no use rely on it because it has been gaining and losing these last a few days .,Bem. O meu relógio diz cinco e duas. Mas não vale a pena confiar nele porque vem ganhando e perdendo estes últimos dias.
You have to go and fix it .,Tens de ir consertá-lo.
Yes . I will .,Sim. Eu vou.
does your family have a record of your ancestors ?,A sua família tem um registo dos seus antepassados?
sure . My mom has been working on our family tree for years . She ' s always updating it .,Claro que sim. A minha mãe trabalha na nossa árvore genealógica há anos. Ela está sempre a atualizá-lo.
do you have a copy of your family tree in your house ? I ' d love to see it .,Tem uma cópia da sua árvore genealógica na sua casa? Eu adoraria vê-lo.
"I can show it to you now , if you like . I think it goes back about 8 generations so far .","Posso mostrá-lo agora, se quiser. Acho que se remonta a cerca de 8 gerações até agora."
that ' s amazing . Do you have a large extended family ?,Isso é incrível. Você tem uma grande família alargada?
I ' Ve got 30 cousins on my mom ' s side and 10 cousins on my dad ' s side .,Tenho 30 primos do lado da minha mãe e 10 primos do lado do meu pai.
are you very close to your first-cousins ?,Estás muito perto dos teus primeiros primos?
"the ones that are my age are close relatives . Now that I ' m older , I don ' t spend as much time with them as I used to , so I don ' t know my younger cousins as well as the older ones .","os que são da minha idade são parentes próximos. Agora que sou mais velho, não passo tanto tempo com eles como costumava, então não conheço meus primos mais novos, bem como os mais velhos."
I see . who ' s the head of your household ?,Estou a ver. Quem é o chefe da sua casa?
"it ' s definitely my mother . And , her mother is definitely the matriarch of the bigger family .","É definitivamente a minha mãe. E, sua mãe é definitivamente a matriarca da família maior."
that ' s interesting . What does your grandfather think of your step-mother ?,Isso é interessante. O que acha o teu avô da tua madrasta?
"at first , she was quite critical of her , but now that they ' Ve been married for a few years , she ' s starting to accept the fact that my father divorced my mother .","no início, ela era bastante crítica dela, mas agora que'Ve foi casado por alguns anos, ela está começando a aceitar o fato de que meu pai se divorciaram de minha mãe."
"that ' s pretty much how you feel about your step-mother . Like grandmother , like grandson .","É assim que te sentes sobre a tua madrasta. Como a avó, como o neto."
"Hi , Mr . Wang . Do you feel like going boating with me ?","Olá, Sr. O Wang. Queres ir de barco comigo?"
"Sounds interesting , I haven't gone boating for some time now , and what time ?","Parece interessante, eu não tenho ido de barco há algum tempo, e a que horas?"
How about tomorrow afternoon ?,Que tal amanhã à tarde?
Sure . Where shall I meet you ?,Claro que sim. Onde é que te encontro?
At the gate of the park .,No portão do parque.
Great . I look forward to meeting you .,Óptimo. Estou ansiosa por conhecê-lo.
See you then .,Até logo.
See you .,Até logo.
I hear that you've been to the Saikei Ski Resort for the weekend . Did you enjoy it ?,Ouvi dizer que estiveste na Estação de Esqui Saikei durante o fim-de-semana. Gostaste?
"Yes , it's so exciting , though I had the most falls in our skiing team .","Sim, é tão emocionante, embora eu tenha tido mais quedas em nossa equipe de esqui."
Isn't there any coach to teach you how to ski ?,Não há nenhum treinador para te ensinar a esquiar?
Of course there is . The top-level coaches there are from the State Sports General Administration .,Claro que há. Os treinadores de alto nível são da Administração Geral dos Desportos do Estado.
Could you move smoothly ?,Podes mexer-te bem?
Yes . My face even ached in the icy wind .,Sim. A minha cara até doía no vento gelado.
